,name,year,revenue,employee,sector,job_title,location,salary_est,age,min_salary,max_salary,avg_salary
189,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights",Remote,$40k - $160k ,141,40,160,100.0
190,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, NC,$83k - $117k ,19,83,117,100.0
191,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, TX,$121k - $170k ,17,121,170,145.5
192,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant,Remote,$80k - $115k ,106,80,115,97.5
193,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, CA,$97k - $155k ,37,97,155,126.0
194,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,Remote,$76k - $111k ,173,76,111,93.5
195,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
196,Corteva Agriscience,2019,Unknown / Non-Applicable,10000+ Employees,Agriculture,Data Engineer,Remote,$78k - $116k ,4,78,116,97.0
197,Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,"Manager, Data Science",Remote,$204k - $294k ,9,204,294,249.0
198,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", CA,$128k - $145k ,35,128,145,136.5
199,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, CA,$111k - $155k ,65,111,155,133.0
200,Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Senior Data Engineer, NY,$103k - $149k ,8,103,149,126.0
202,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", CA,$72k - $122k ,86,72,122,97.0
203,Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science),Remote,$103k - $151k ,205,103,151,127.0
204,"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70k - $75k ,44,70,75,72.5
205,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", MA,$99k - $126k ,10,99,126,112.5
206,DraftKings,2012,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,SENIOR DATA SCIENCE ENGINEER (ECONOMIST), PA,$99k - $141k ,11,99,141,120.0
207,Silicon Labs Careers,1996,$500 million to $1 billion (USD),1001 to 5000 Employees,Manufacturing,Senior Data Analyst, NY,$91k - $127k ,27,91,127,109.0
208,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, CA,$84k - $113k ,98,84,113,98.5
209,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, TX,$99k ,12,99,99,99.0
210,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, TX,$80k - $115k ,106,80,115,97.5
211,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, WA,$97k - $155k ,37,97,155,126.0
212,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer,Remote,$121k - $170k ,17,121,170,145.5
213,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), CA,$57k - $90k ,19,57,90,73.5
214,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights", CA,$40k - $160k ,141,40,160,100.0
215,Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Senior Data Engineer, CA,$103k - $149k ,8,103,149,126.0
216,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, CA,$83k - $117k ,19,83,117,100.0
217,CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science, CA,$116k - $193k ,33,116,193,154.5
218,Silicon Labs Careers,1996,$500 million to $1 billion (USD),1001 to 5000 Employees,Manufacturing,Senior Data Analyst,Remote,$91k - $127k ,27,91,127,109.0
219,Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,"Manager, Data Science", CA,$204k - $294k ,9,204,294,249.0
220,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics,Remote,$100k - $135k ,47,100,135,117.5
221,pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote), CA,$75k - $120k ,8,75,120,97.5
222,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,Remote,$76k - $111k ,173,76,111,93.5
223,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", MA,$128k - $145k ,35,128,145,136.5
224,Insulet Corporation,2000,$1 to $5 billion (USD),1001 to 5000 Employees,Pharmaceutical & Biotechnology,"Co-Op, Data Science (Hybrid)", CA,$94k - $140k ,23,94,140,117.0
225,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack",Remote,$176k - $255k ,24,176,255,215.5
227,Mercer,1945,$1 to $5 billion (USD),10000+ Employees,Management & Consulting,Data Science Analyst, CA,$59k - $118k ,78,59,118,88.5
228,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
229,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),Remote,$57k - $90k ,19,57,90,73.5
230,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,Remote,$84k - $113k ,98,84,113,98.5
231,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, CA,$111k - $155k ,65,111,155,133.0
232,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, PA,$121k - $170k ,17,121,170,145.5
233,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant,Remote,$80k - $115k ,106,80,115,97.5
234,Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science), IL,$103k - $151k ,205,103,151,127.0
235,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, TX,$83k - $117k ,19,83,117,100.0
236,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,Remote,$76k - $111k ,173,76,111,93.5
237,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
238,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, NY,$97k - $155k ,37,97,155,126.0
239,Nike,1972,$10+ billion (USD),10000+ Employees,Manufacturing,Data Engineer, TX,$95k - $135k ,51,95,135,115.0
240,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", TX,$99k - $126k ,10,99,126,112.5
241,Intuit,1983,$10+ billion (USD),10000+ Employees,Information Technology,Data Engineer II (Mailchimp),Remote,$93k - $142k ,40,93,142,117.5
242,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack",Remote,$176k - $255k ,24,176,255,215.5
243,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", CA,$72k - $122k ,86,72,122,97.0
244,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", CA,$111k - $167k ,17,111,167,139.0
245,CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science, CA,$116k - $193k ,33,116,193,154.5
246,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),Remote,$57k - $90k ,19,57,90,73.5
247,Corteva Agriscience,2019,Unknown / Non-Applicable,10000+ Employees,Agriculture,Data Engineer, MA,$78k - $116k ,4,78,116,97.0
248,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, CA,$84k - $113k ,98,84,113,98.5
249,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant,Remote,$80k - $115k ,106,80,115,97.5
250,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, NY,$121k - $170k ,17,121,170,145.5
251,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, CA,$83k - $117k ,19,83,117,100.0
252,Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science),Remote,$103k - $151k ,205,103,151,127.0
253,Solution Design Group,1989,$25 to $100 million (USD),201 to 500 Employees,Information Technology,Cloud Data Engineer, IL,$83k - $116k ,34,83,116,99.5
254,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, CA,$111k - $155k ,65,111,155,133.0
255,Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Senior Data Engineer, CA,$103k - $149k ,8,103,149,126.0
256,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Staff Analytics Engineer, CA,$130k - $241k ,20,130,241,185.5
257,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Analytics Engineer, Real Estate Data Strategy & Analytics", TX,$95k - $131k ,24,95,131,113.0
258,"Analysis Group, Inc.",1981,$100 to $500 million (USD),1001 to 5000 Employees,Management & Consulting,Data Engineer, NY,$93k - $135k ,42,93,135,114.0
259,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer, OH,$76k - $111k ,173,76,111,93.5
260,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", PA,$72k - $122k ,86,72,122,97.0
261,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", NY,$99k - $126k ,10,99,126,112.5
262,Avant,2012,Unknown / Non-Applicable,501 to 1000 Employees,Financial Services,Data Science Sr Associate, CA,$76k - $119k ,11,76,119,97.5
263,Silicon Labs Careers,1996,$500 million to $1 billion (USD),1001 to 5000 Employees,Manufacturing,Senior Data Analyst, MN,$91k - $127k ,27,91,127,109.0
264,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", TX,$176k - $255k ,24,176,255,215.5
265,INTEL,1968,$10+ billion (USD),10000+ Employees,Information Technology,Deep Learning Compiler Engineer,Remote,$217k - $347k ,55,217,347,282.0
266,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), NC,$57k - $90k ,19,57,90,73.5
267,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, CA,$84k - $113k ,98,84,113,98.5
268,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
269,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant,Remote,$80k - $115k ,106,80,115,97.5
270,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", TX,$176k - $255k ,24,176,255,215.5
271,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", IL,$113k - $169k ,7,113,169,141.0
272,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer,Remote,$83k - $117k ,19,83,117,100.0
273,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, CA,$121k - $170k ,17,121,170,145.5
274,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics,Remote,$100k - $135k ,47,100,135,117.5
275,Roku,2002,$500 million to $1 billion (USD),1001 to 5000 Employees,Information Technology,"Sr. Manager, Data Science", NY,$292k - $600k ,21,292,600,446.0
276,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", CA,$128k - $145k ,35,128,145,136.5
277,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,"Executive Director, Data Science", NY,$125k - $233k ,20,125,233,179.0
278,Smith & Associates,1984,$1 to $5 billion (USD),501 to 1000 Employees,Information Technology,Junior AI/ML Engineer, TX,$43k - $64k ,39,43,64,53.5
279,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis",Remote,$99k - $126k ,10,99,126,112.5
280,CPS Energy,1942,$1 to $5 billion (USD),1001 to 5000 Employees,"Energy, Mining & Utilities",Data Engineer 2 - Data & Analytics Engineering, NY,$81k - $117k ,81,81,117,99.0
281,Abbott Laboratories,1888,$10+ billion (USD),10000+ Employees,Healthcare,"Director, Data Science & Advanced Analytics", NC,$136k - $272k ,135,136,272,204.0
282,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", CA,$111k - $167k ,17,111,167,139.0
283,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, TX,$111k - $155k ,65,111,155,133.0
284,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", CA,$170k - $210k ,6,170,210,190.0
285,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), CA,$57k - $90k ,19,57,90,73.5
286,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", IA,$176k - $255k ,24,176,255,215.5
287,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", CA,$113k - $169k ,7,113,169,141.0
288,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, OH,$99k ,12,99,99,99.0
289,Roku,2002,$500 million to $1 billion (USD),1001 to 5000 Employees,Information Technology,"Sr. Manager, Data Science", CA,$292k - $600k ,21,292,600,446.0
290,Sojern,2007,$100 to $500 million (USD),201 to 500 Employees,Media & Communication,Manager of Data Science, TX,$128k - $179k ,16,128,179,153.5
291,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", GA,$111k - $167k ,17,111,167,139.0
292,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", CA,$170k - $210k ,6,170,210,190.0
293,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", MD,$99k - $126k ,10,99,126,112.5
294,pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote), MA,$75k - $120k ,8,75,120,97.5
295,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,Remote,$84k - $113k ,98,84,113,98.5
296,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, CA,$121k - $170k ,17,121,170,145.5
297,CPS Energy,1942,$1 to $5 billion (USD),1001 to 5000 Employees,"Energy, Mining & Utilities",Data Engineer 2 - Data & Analytics Engineering, CA,$81k - $117k ,81,81,117,99.0
298,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, MA,$90k - $165k ,173,90,165,127.5
299,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics, TX,$100k - $135k ,47,100,135,117.5
300,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", IL,$72k - $122k ,86,72,122,97.0
301,Abbott Laboratories,1888,$10+ billion (USD),10000+ Employees,Healthcare,"Director, Data Science & Advanced Analytics",Remote,$136k - $272k ,135,136,272,204.0
302,UNITED PARCEL SERVICE,1907,$10+ billion (USD),10000+ Employees,Transportation & Logistics,Manager of Data Science, CA,$91k - $131k ,116,91,131,111.0
303,Colgate-Palmolive,1806,$10+ billion (USD),10000+ Employees,Manufacturing,"Director, Global Data Platforms",Remote,$158k - $233k ,217,158,233,195.5
304,GSK,1830,$10+ billion (USD),10000+ Employees,Pharmaceutical & Biotechnology,AI/ML Engineer – Sequence Learning, NC,$59k - $100k ,193,59,100,79.5
305,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), CA,$57k - $90k ,19,57,90,73.5
306,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, NY,$121k - $170k ,17,121,170,145.5
307,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, CA,$99k ,12,99,99,99.0
308,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", TX,$176k - $255k ,24,176,255,215.5
309,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", NY,$99k - $126k ,10,99,126,112.5
310,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Staff Analytics Engineer, GA,$130k - $241k ,20,130,241,185.5
311,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, TX,$97k - $155k ,37,97,155,126.0
312,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", CA,$113k - $169k ,7,113,169,141.0
313,Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit", OH,$180k - $276k ,11,180,276,228.0
314,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech",Remote,$111k - $167k ,17,111,167,139.0
315,North Carolina State University,1887,$500 million to $1 billion (USD),1001 to 5000 Employees,Education,Data Science Education Postdoctoral Scholar, TX,$70k ,136,70,70,70.0
316,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", CA,$128k - $145k ,35,128,145,136.5
317,Rhino New York,2004,Unknown / Non-Applicable,501 to 1000 Employees,Media & Communication,"Director, Data and Analytics", TX,$170k - $210k ,19,170,210,190.0
318,Sun Life,1865,$10+ billion (USD),10000+ Employees,Insurance,Data Science Co-op, TX,$75k - $111k ,158,75,111,93.0
319,Colgate-Palmolive,1806,$10+ billion (USD),10000+ Employees,Manufacturing,"Director, Global Data Platforms",Remote,$158k - $233k ,217,158,233,195.5
320,Qualitest,1997,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,Project Manager (Data Science), TX,$90k - $130k ,26,90,130,110.0
321,"246,200",1879,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities","Data Engineering and Advanced Analytics, Senior Manager [HYBRID]", CA,$93k - $132k ,144,93,132,112.5
322,Roku,2002,$500 million to $1 billion (USD),1001 to 5000 Employees,Information Technology,"Sr. Manager, Data Science", PA,$292k - $600k ,21,292,600,446.0
323,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), CA,$57k - $90k ,19,57,90,73.5
324,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", MA,$176k - $255k ,24,176,255,215.5
325,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights",Remote,$40k - $160k ,141,40,160,100.0
326,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech",Remote,$111k - $167k ,17,111,167,139.0
327,Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit", TX,$180k - $276k ,11,180,276,228.0
328,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
329,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, MA,$121k - $170k ,17,121,170,145.5
330,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
332,Verizon,2000,$10+ billion (USD),10000+ Employees,Telecommunications,Principal Engineer Data Science, CA,$98k - $136k ,23,98,136,117.0
333,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, TX,$90k - $165k ,173,90,165,127.5
334,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", CA,$128k - $145k ,35,128,145,136.5
335,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", IL,$99k - $126k ,10,99,126,112.5
336,"246,200",1879,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities","Data Engineering and Advanced Analytics, Senior Manager [HYBRID]", TX,$93k - $132k ,144,93,132,112.5
337,Abbott Laboratories,1888,$10+ billion (USD),10000+ Employees,Healthcare,"Director, Data Science & Advanced Analytics", NY,$136k - $272k ,135,136,272,204.0
339,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Staff Analytics Engineer, MA,$130k - $241k ,20,130,241,185.5
341,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", TX,$170k - $210k ,6,170,210,190.0
342,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, TX,$97k - $155k ,37,97,155,126.0
343,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", CA,$176k - $255k ,24,176,255,215.5
344,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, OH,$80k - $115k ,106,80,115,97.5
345,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, CA,$99k ,12,99,99,99.0
346,Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Senior Data Engineer, CA,$103k - $149k ,8,103,149,126.0
347,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Staff Analytics Engineer, OR,$130k - $241k ,20,130,241,185.5
348,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, CA,$121k - $170k ,17,121,170,145.5
350,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Sr Data Engineer, CA,$89k - $126k ,20,89,126,107.5
351,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics",Remote,$170k - $210k ,6,170,210,190.0
352,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer,Remote,$111k - $155k ,65,111,155,133.0
353,CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science, MD,$116k - $193k ,33,116,193,154.5
354,Volkswagen Group of America,1955,$5 to $25 million (USD),1001 to 5000 Employees,Manufacturing,Data Engineer, MN,$78k - $113k ,68,78,113,95.5
355,Silicon Labs Careers,1996,$500 million to $1 billion (USD),1001 to 5000 Employees,Manufacturing,Senior Data Analyst,Remote,$91k - $127k ,27,91,127,109.0
356,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", MN,$99k - $126k ,10,99,126,112.5
357,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights", NY,$40k - $160k ,141,40,160,100.0
358,"246,200",1879,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities","Data Engineering and Advanced Analytics, Senior Manager [HYBRID]",Remote,$93k - $132k ,144,93,132,112.5
359,HERSHEY MX,1894,$5 to $10 billion (USD),10000+ Employees,Manufacturing,Data Science Co-Op (Fall 2023), MA,$58k - $95k ,129,58,95,76.5
360,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
361,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", CA,$128k - $145k ,35,128,145,136.5
362,Autodesk,1982,$1 to $5 billion (USD),10000+ Employees,Information Technology,Data Informatics Analyst, TX,$67k - $116k ,41,67,116,91.5
363,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", IA,$170k - $210k ,6,170,210,190.0
364,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Sr Data Engineer, IL,$89k - $126k ,20,89,126,107.5
365,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), NC,$57k - $90k ,19,57,90,73.5
366,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", NY,$99k - $126k ,10,99,126,112.5
367,Silicon Labs Careers,1996,$500 million to $1 billion (USD),1001 to 5000 Employees,Manufacturing,Senior Data Analyst, OH,$91k - $127k ,27,91,127,109.0
368,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", TX,$111k - $167k ,17,111,167,139.0
369,SpaceX,2002,Unknown / Non-Applicable,5001 to 10000 Employees,Aerospace & Defense,Data Engineer, MA,$120k - $145k ,21,120,145,132.5
370,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, CA,$90k - $165k ,173,90,165,127.5
372,PGA Tour,1968,$500 million to $1 billion (USD),1001 to 5000 Employees,"Arts, Entertainment & Recreation",Data Analyst Experience Management, MN,$50k - $70k ,55,50,70,60.0
373,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Staff Analytics Engineer,Remote,$130k - $241k ,20,130,241,185.5
374,PayPal,1998,$10+ billion (USD),10000+ Employees,Information Technology,"Data Science Mng, Marketing Analytics", TX,$85k - $205k ,25,85,205,145.0
375,pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote), GA,$75k - $120k ,8,75,120,97.5
376,Turvo Inc,2014,Unknown / Non-Applicable,201 to 500 Employees,Information Technology,Data Specialist, ME,$70k - $130k ,9,70,130,100.0
377,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, CA,$99k ,12,99,99,99.0
